,address,city,state,zip,fld_zone,zone_subty,x,y,geocoder
46,464 E RIDGE RD,MOBILE,AL,36617,AE,nan,-88.09795342762854,30.70146013083938,arcgis
49,1303 TIPTON RD,LINCOLN,AL,35096,A,nan,-86.09274309184038,33.56117777827116,arcgis
50,4213 BAY FRONT RD,MOBILE,AL,36605,AE,nan,-88.07062163393496,30.58424193904925,arcgis
53,8170 OLD GULFCREST RD,CHUNCHULA,AL,36521,AE,nan,-88.2343326919872,30.995775699147956,arcgis
55,1120 PLEASANT VALLEY DR,PELL CITY,AL,35125,AE,nan,-86.2520659837183,33.60538880042982,arcgis
56,115 JERICHO TRAIL,OHATCHEE,AL,36271,A,nan,-85.9945665420938,33.79967058720047,arcgis
60,910 S KYLE ST,SCOTTSBORO,AL,35768,AE,nan,-86.02741337661983,34.6642989780122,arcgis
61,1609 10TH AVE CT SE,DECATUR,AL,35601,AE,nan,-86.97586737897993,34.58110276357322,arcgis
62,911 GATE 8 RD,ANNISTON,AL,36201,A,nan,-85.91557984515812,33.65652880335995,arcgis
64,200 W. BARATARA DRIVE,CHICKASAW,AL,36611,AE,nan,-88.08747169006962,30.784032270677443,arcgis
65,2901 MCDONALD DR SW,DECATUR,AL,35603,AE,nan,-87.01074456191198,34.55669784664954,arcgis
72,3909 PRIMA VERA LN,MOBILE,AL,36605,AE,nan,-88.07172385420263,30.591397695518715,arcgis
74,215 CACHE CIR,CHICKASAW,AL,36611,AE,nan,-88.08539582792915,30.78010195436893,arcgis
76,224 W BARATARA DR,CHICKASAW,AL,36611,AE,nan,-88.08731846887956,30.786356069513786,arcgis
78,1733 SERENE CIR,BIRMINGHAM,AL,35215,AE,nan,-86.66790779059194,33.6287295090169,arcgis
81,117 NABORS AVE,HUEYTOWN,AL,35023,AE,nan,-86.98088134964037,33.43631466544997,arcgis
85,12934 HIGHWAY 78,FRUITHURST,AL,36262,A,nan,-85.48475781711029,33.72449958404729,arcgis
89,2105 SHADY LANE CIR,HUNTSVILLE,AL,35810,AE,nan,-86.62480301532187,34.75427191925895,arcgis
92,121 MATHIESON AVE,SARALAND,AL,36571,AE,nan,-88.09532503043087,30.818105419547372,arcgis
93,3083 OLD HIGHWAY 431,OWENS CROSS ROADS,AL,35763,AE,nan,-86.458885295096,34.586552200638955,arcgis
95,412 CLOVERLANE DR,CHILDERSBURG,AL,35044,AE,nan,-86.35273419718285,33.28140910919969,arcgis
96,1755 COUNTY ROAD 994,MINTER,AL,36761,AE,FLOODWAY,-87.22658401691662,32.16079398158975,arcgis
101,905 LA MOTHE PLACE,DAUPHIN ISLAND,AL,36528,AE,nan,-88.11005781782328,30.25063737307235,arcgis
103,11 BETHEL RD,GEORGIANA,AL,36033,A,nan,-86.87582094121149,31.747235651811835,arcgis
104,13437 N WARFIELD CIR,MARANA,AZ,85658,AO,nan,-111.19335589520328,32.45050637631235,arcgis
105,2640 S COTTONWOOD LN LOT 88,TUCSON,AZ,85713,AE,nan,-110.99360399460122,32.19071599291205,arcgis
107,30 E SUMMY PL,NOGALES,AZ,85621,AE,nan,-110.93157707291266,31.34216664887132,arcgis
108,510 W LA PAZ ST,WILLCOX,AZ,85643,AO,nan,-109.84439008396329,32.24965254880937,arcgis
109,810 NORTH MESA AVE,WILLCOX,AZ,85643,AO,nan,-109.83670245382785,32.26385983278223,arcgis
110,301 N DOUGLAS AVE,WILLCOX,AZ,85643,AO,nan,-109.83711526255924,32.2573573199368,arcgis
111,117 E 2ND ST,SAFFORD,AZ,85546,AE,nan,-109.70577042070485,32.83702254427456,arcgis
112,4203 N SANTA FE AVE,DOUGLAS,AZ,85607,A,nan,-109.52736781422387,31.380390348555707,arcgis
114,1432 N CATALINA AVE,TUCSON,AZ,85712,AE,nan,-110.89903709986197,32.240643846914466,arcgis
116,6019 E MONITOR ST,PICACHO,AZ,85141,A,nan,-111.50303394245233,32.71313741653006,arcgis
117,20687 E PRICKLY PEAR DR,MAYER,AZ,86333,AE,nan,-112.10068568219462,34.31688933368622,arcgis
119,2206 W EMERALD CIR,MESA,AZ,85202,AH,nan,-111.87906531238883,33.39680572664221,arcgis
120,31825 N. 165TH AVE.,SURPRISE,AZ,85387,AE,nan,-112.41485584174042,33.771317207148066,arcgis
121,31621 N 231ST AVE,WITTMANN,AZ,85361,AE,nan,-112.55953251969024,33.77017399937388,arcgis
124,201 E GILMORE ST,WINSLOW,AZ,86047,AE,nan,-110.69146982892019,35.03350249260357,arcgis
127,43614 S 87TH AVE,MARICOPA,AZ,85139,A,nan,-112.24744274851281,33.0508657233093,arcgis
128,9245 N CHARITY CT,PRESCOTT VALLEY,AZ,86315,AE,nan,-112.32613867722728,34.67675754552556,arcgis
129,1701 LA ENTRADA DR,FORT MOHAVE,AZ,86426,AO,nan,-114.59099303679122,35.02971743467722,arcgis
131,4360 E LOCOMOTIVE DRIVE,CLAYPOOL,AZ,85532,AE,nan,-110.84166012277905,33.40975752724794,arcgis
132,2207 S CAMINO TIERRA,YUMA,AZ,85364,AO,nan,-114.6404725008832,32.68659701230311,arcgis
133,40409 N. NEW RIVER,PHOENIX,AZ,85086,AE,nan,-112.06265028196499,33.85202542126739,arcgis
134,3996 E RIO VIRGIN RD,LITTLEFIELD,AZ,86432,A,nan,-113.91111057790224,36.9080873997347,arcgis
138,211 N BOND ST,WEST MEMPHIS,AR,72301,AE,nan,-90.19467636486262,35.1489699981869,arcgis
139,14276 N ROADRUNNER,FLORENCE,AZ,85132,A,nan,-111.32870228142458,33.00872070412135,arcgis
140,1 ALTHEA CIR,LITTLE ROCK,AR,72209,AE,nan,-92.3558462468702,34.673957906045906,arcgis
142,1404 KIZER CV,POCAHONTAS,AR,72455,A,nan,-90.98769526509,36.25262101472014,arcgis
145,206 E CLEARWATER DR,SHERIDAN,AR,72150,A,nan,-92.21333327340582,34.312426221702445,arcgis
148,2010 COUNTY ROAD 508,RECTOR,AR,72461,A,nan,-90.22210430236758,36.23724028500145,arcgis
149,218 WOODLAND AVE,LEPANTO,AR,72354,AE,nan,-90.33431384262367,35.611750420933475,arcgis
153,720 N GREENWICH AVE,RUSSELLVILLE,AR,72801,AE,nan,-93.12539271690198,35.284583240414314,arcgis
155,335 GATHERING HOUSE RD,BENTON,AR,72015,AE,nan,-92.63634412206538,34.49564766813792,arcgis
159,207 E BURNS ST,CALION,AR,71724,AE,nan,-92.53530983465505,33.33146745028518,arcgis
161,6714 JUNIPER RD,LITTLE ROCK,AR,72209,AE,nan,-92.35247965545972,34.67603628275735,arcgis
163,7307 DAHLIA DR,LITTLE ROCK,AR,72209,AE,nan,-92.35852476784889,34.67343621639226,arcgis
164,4402 W HIGHWAY 255,LAVACA,AR,72941,AE,nan,-94.21414661883104,35.337954464060324,arcgis
165,505 E F ST,RUSSELLVILLE,AR,72801,AE,nan,-93.12723422102962,35.283232496717645,arcgis
167,1009 3RD ST,HOT SPRINGS,AR,71913,AE,nan,-93.06400147875021,34.48884772345835,arcgis
171,101 FOREST LOOP,CABOT,AR,72023,AE,nan,-92.00461219255666,34.95918465410401,arcgis
172,15 FAWN DR,WARD,AR,72176,AE,nan,-91.96509248202904,35.01892502187697,arcgis
174,11016 KING ARTHURS DR,LITTLE ROCK,AR,72209,AE,nan,-92.35829342732131,34.64893063281147,arcgis
175,1202 UNIVERSITY DR,RUSSELLVILLE,AR,72801,AE,FLOODWAY,-93.11686513624936,35.29030158430819,arcgis
179,7832 POWELL DR,SHERWOOD,AR,72120,A,nan,-92.21709758612187,34.8278859419878,arcgis
180,505 WILDWOOD CIR,HOT SPRINGS NATIONAL PARK,AR,71901,AE,nan,-93.01304855989905,34.47031005493846,arcgis
181,100 S MEADOW PL,CLARKSVILLE,AR,72830,AE,nan,-93.45054837314599,35.470177347381494,arcgis
182,2012 DYER ST,MALVERN,AR,72104,AE,nan,-92.81086666593669,34.348852209636036,arcgis
193,106 ROMEO CIR,LEPANTO,AR,72354,AE,nan,-90.34256976579435,35.614687481715706,arcgis
194,107 CONCORD CIR,JACKSONVILLE,AR,72076,AE,nan,-92.10424297121557,34.87971837393926,arcgis
196,1190 LAKE ST,CALION,AR,71724,AE,nan,-92.54481032539661,33.32371564956777,arcgis
199,616 S BANKHEAD,CARLISLE,AR,72024,AE,nan,-91.75129611592341,34.77793604358004,arcgis
201,1634 MULBERRY WIRE RD,MULBERRY,AR,72947,A,nan,-94.08006022408618,35.522901953907535,arcgis
206,7431 MARS HILL RD,BAUXITE,AR,72011,A,nan,-92.5039765203856,34.50120730069484,arcgis
207,509 EL RIO ST,WATSONVILLE,CA,95076,AE,nan,-121.74061948514574,36.92090349128509,arcgis
208,1947 WOODGLEN LN UNIT 4,VACAVILLE,CA,95687,A,nan,-121.97223996835399,38.33705750682261,arcgis
211,325 C ST,FIELDS LANDING,CA,95537,AE,nan,-124.21678313250503,40.72679702692054,arcgis
213,13746 TRINITY AVE,RED BLUFF,CA,96080,A,nan,-122.19694404033764,40.19280001530089,arcgis
214,14256 1ST STREET,YOLO,CA,95697,A,nan,-121.80627567540509,38.73215581011797,arcgis
218,1120 PACIFIC ST,THERMAL,CA,92274,AE,nan,-115.95630045791916,33.33483747827585,arcgis
222,35091 ROAD 156,VISALIA,CA,93292,A,nan,-119.22401566953599,36.42633088697974,arcgis
223,1426 EAST VINE CT,VISALIA,CA,93292,AE,nan,-119.27720043774565,36.34710228831838,arcgis
226,501 S CENTRAL ST,VISALIA,CA,93277,AE,nan,-119.31188173560048,36.32626630194777,arcgis
227,37567 WAVENEY STREET,INDIO,CA,92203,A,nan,-116.26558949996982,33.776212992973726,arcgis
229,29495 JERSEY,LAKE ELSINORE,CA,92530,AE,nan,-117.29929558807021,33.65014217032597,arcgis
230,11931 CHAMBERLAINE WAY,ADELANTO,CA,92301,AE,nan,-117.4047669197455,34.58648654380177,arcgis
231,1833 LINNETT RD,WRIGHTWOOD,CA,92397,A,nan,-117.62180011196702,34.35367063428706,arcgis
233,756 REES COURT,LONGMONT,CO,80504,AE,nan,-105.0892424514001,40.172055014489246,arcgis
234,1014 MERCURY DR,COLORADO SPRINGS,CO,80905,AO,nan,-104.8480540257171,38.805637536014316,arcgis
238,318 W CHEYENNE RD,COLORADO SPRINGS,CO,80906,AE,nan,-104.83284811959625,38.80499341369624,arcgis
239,116 HOLLISTER DRIVE,EAST HARTFORD,CT,6118,AE,nan,-72.62829683377788,41.73944257746425,arcgis
240,310 N 15TH ST,CANON CITY,CO,81212,AE,nan,-105.22736490016206,38.44883999249379,arcgis
241,270 PECK AVE,WEST HAVEN,CT,6516,AE,nan,-72.94355144395666,41.266832696863815,arcgis
242,12 SUNRISE RD,WOLCOTT,CT,6716,AE,nan,-72.99383062543087,41.586986529448765,arcgis
245,23 CARL ST,MERIDEN,CT,6451,AE,nan,-72.82203547322284,41.53810125847261,arcgis
247,141-143 WORDIN AVE,BRIDGEPORT,CT,6605,AE,nan,-73.20439551640511,41.16986631470258,arcgis
249,80 CHURCH ST,BRANFORD,CT,6405,AE,nan,-72.81086180955684,41.27962800733722,arcgis
251,38 WEST WALK UNIT 38,WEST HAVEN,CT,6516,AE,nan,-72.94639462500363,41.2581116323989,arcgis
252,850 ATLANTIC ST UNIT 205,BRIDGEPORT,CT,6604,VE,nan,-73.19825342539619,41.1633440205657,arcgis
256,279 PECK AVE,WEST HAVEN,CT,6516,AE,nan,-72.9435138930303,41.26688722114401,arcgis
264,9 VAN HORN DRIVE,EAST HAVEN,CT,6512,AE,nan,-72.84786120655383,41.306452151065,arcgis
267,20 HAMRE LN UNIT B,BRANFORD,CT,6405,AE,nan,-72.80758968219511,41.284832875842646,arcgis
271,265 HARLEM AVE,BRIDGEPORT,CT,6606,A,nan,-73.21005883310458,41.20056817829632,arcgis
272,45-51 RIDGE AVE,BRIDGEPORT,CT,6604,AE,nan,-73.19643756989223,41.16698235327701,arcgis
274,360 W SPRING ST UNIT D18,WEST HAVEN,CT,6516,AE,FLOODWAY,-72.96984396547526,41.27700455546222,arcgis
275,516 MAIN ST,WEST HAVEN,CT,6516,AE,nan,-72.95711721896991,41.26991350728546,arcgis
282,1138-1140 KOSSUTH STREET,BRIDGEPORT,CT,6608,A,nan,-73.18196311275561,41.19401692468396,arcgis
283,48 EAST AVE,MILFORD,CT,6460,AE,nan,-73.02971782769534,41.21120569352582,arcgis
284,979 FOLLY BROOK BLVD,WETHERSFIELD,CT,6109,A,nan,-72.67125827850374,41.69545191884757,arcgis
285,100 VALLEY STREET,NEW HAVEN,CT,6515,AE,nan,-72.96174637645565,41.33012251990385,arcgis
286,1460 WILLARD AVENUE,NEWINGTON,CT,6111,A,nan,-72.72849821146966,41.67212587859116,arcgis
288,51 7A BROOK ST,NAUGATUCK,CT,6770,AE,nan,-73.03784574443563,41.498804450792186,arcgis
289,133 TAFTVILLE OCCUM RD,NORWICH,CT,6360,AE,nan,-72.04763898255663,41.58743634428243,arcgis
290,36 HEATHER DRIVE,EAST HARTFORD,CT,6118,AE,nan,-72.62929352588448,41.72904725732705,arcgis
291,63 BROAD LEAF LN,ENFIELD,CT,6082,AE,nan,-72.6011092926381,41.969977478482704,arcgis
292,81 E PATTAGANSETT RD UNIT 5,NIANTIC,CT,6357,AE,nan,-72.20500837648498,41.32986385437194,arcgis
293,27 SALEM ROAD,EAST HARTFORD,CT,6118,AE,nan,-72.60784691786763,41.745344443128126,arcgis
294,91 MONTAGUE CIRCLE,EAST HARTFORD,CT,6118,AE,nan,-72.61249560518772,41.74305689602305,arcgis
295,2480 FOXON ROAD,NORTH BRANFORD,CT,6471,AE,nan,-72.74716118944218,41.34319036795918,arcgis
296,518 -520 GREGORY ST 02,BRIDGEPORT,CT,6604,AE,nan,-73.19598813224398,41.16599584518284,arcgis
297,19 CLIFFSIDE DR UNIT D,MANCHESTER,CT,6042,AE,nan,-72.48825803049301,41.79501924747362,arcgis
300,52 ATWATER ST,MILFORD,CT,6460,AE,nan,-73.01567076380171,41.206726739745,arcgis
303,66 3 COSEY BEACH AVE,EAST HAVEN,CT,6512,AE,nan,-72.86271184350491,41.24668033851622,arcgis
307,178 GRIFFIN AVE,BRIDGEPORT,CT,6606,AE,nan,-73.20543671641752,41.217129352137924,arcgis
308,64 MEADOW VIEW ROAD,NEW HAVEN,CT,6512,AE,nan,-72.89440926764836,41.25181052426425,arcgis
311,697 BEACON VALLEY UNIT 9 RD,NAUGATUCK,CT,6770,AE,FLOODWAY,-73.02712423299494,41.46804742433232,arcgis
313,25 S STONYBROOK DRIVE,MARLBOROUGH,CT,6447,A,nan,-72.45622382147995,41.674097763222925,arcgis
315,5 TIMBERLEA DR,MERIDEN,CT,6450,A,nan,-72.80188412070366,41.516058194225685,arcgis
316,1892 MAIN ST,EAST HARTFORD,CT,6108,AE,nan,-72.63288517139517,41.79297242862775,arcgis
318,10 WILLIAM STREET,CLINTON,CT,6413,AE,nan,-72.54170414644375,41.27587236989095,arcgis
320,120 HOLLISTER AVE,BRIDGEPORT,CT,6607,AE,nan,-73.15987503768862,41.17646161521625,arcgis
321,21 POND LILY AVE,NEW HAVEN,CT,6515,AE,nan,-72.97617402878096,41.339056479039364,arcgis
327,122 ROXBURY RD,EAST HARTFORD,CT,6118,AE,nan,-72.60953930793774,41.74907225265586,arcgis
329,42 MARION ST,WEST HAVEN,CT,6516,AE,nan,-72.93629640384403,41.26722635294646,arcgis
335,439 SHORT BEACH RD,EAST HAVEN,CT,6512,AE,nan,-72.86958659667033,41.26480461157153,arcgis
336,1 PECK AVE UNIT 5,WEST HAVEN,CT,6516,AE,nan,-72.94039138264034,41.259235842739834,arcgis
337,596 CENTER ST,WALLINGFORD,CT,6492,AE,nan,-72.81196302399593,41.45148170713874,arcgis
340,10 MANWARING RD,NIANTIC,CT,6357,AE,nan,-72.20599819543101,41.3099767413504,arcgis
341,280 E MAIN ST #B12,CLINTON,CT,6413,AE,nan,-72.498808751115,41.27102251689449,arcgis
343,77 CALIFORNIA ST,WEST HAVEN,CT,6516,AE,nan,-72.94209148406149,41.25938939920603,arcgis
345,149 SPRING ST,WETHERSFIELD,CT,6109,AE,nan,-72.65707299702673,41.701054969663275,arcgis
350,6311 S LAGOON DRIVE,PANAMA CITY,FL,32408,AE,nan,-85.7621846468012,30.154658672471797,arcgis
351,2170 COSMOS AVENUE,MIDDLEBURG,FL,32068,A,nan,-81.91910006195273,30.06554412192926,arcgis
352,441 OLDFIELD DR,FLEMING ISLAND,FL,32003,A,nan,-81.70166360293597,30.114321392082758,arcgis
354,1922 JONNA DR,CARRABELLE,FL,32322,A,nan,-84.69880494507926,29.832523022700236,arcgis
356,2838 PROSPECT RD,VERNON,FL,32462,AE,nan,-85.67381440926054,30.630238051819763,arcgis
360,27500 GOODWIN RD,HILLIARD,FL,32046,A,nan,-81.983921845436,30.67574654737291,arcgis
361,1303 2ND ST,SOUTHPORT,FL,32409,A,nan,-85.65303466546025,30.291606481322894,arcgis
364,5600 CRUZAT WAY,PENSACOLA,FL,32507,AE,nan,-87.44277827788268,30.31803290374486,arcgis
365,13050 NE 44TH CT,ANTHONY,FL,32617,A,nan,-82.07537788063081,29.340132018243953,arcgis
371,12117 CUE DR,PANAMA CITY,FL,32404,A,nan,-85.50015746871948,30.106319356759343,arcgis
373,5048 AVENUE D,SAINT AUGUSTINE,FL,32095,A,nan,-81.34984847221047,29.956151945496078,arcgis
379,12051 NW 7TH PL,OCALA,FL,34482,AE,nan,-82.31890804242292,29.195054643412746,arcgis
386,17090 SE 173RD TERR RD,WEIRSDALE,FL,32195,A,nan,-81.86319083993472,28.972912835410096,arcgis
388,1726 SW 77TH TERRACE,GAINESVILLE,FL,32607,A,nan,-82.42521052361712,29.636284857818985,arcgis
392,2467 SEAWAY ST,JACKSONVILLE,FL,32233,AE,COASTAL FLOODPLAIN,-81.42751183427283,30.357705415393085,arcgis
395,4770 NW 64TH STREET,OCALA,FL,34482,AE,nan,-82.20041290959362,29.25307128543637,arcgis
398,17050 SE 173RD TERR,WEIRSDALE,FL,32195,A,nan,-81.86422449623447,28.973193126252134,arcgis
400,3585 NE 152ND STREET,CITRA,FL,32113,A,nan,-82.08876570783961,29.37147350486907,arcgis
401,11085 NW 113TH ST,CHEIFLAND,FL,32626,A,nan,-82.95712006416038,29.49335752497123,arcgis
407,11735 E BLUE COVE DR,DUNNELLON,FL,34432,AE,nan,-82.44838246258358,29.052934990754792,arcgis
414,17298 ELSINORE DR,JACKSONVILLE,FL,32226,AE,COASTAL FLOODPLAIN,-81.59588591269967,30.553030832928286,arcgis
417,12 MEDFORD DR,PALM COAST,FL,32137,AE,nan,-81.19810492787425,29.62357407883908,arcgis
420,358 SW CALIFORNIA TER,FORT WHITE,FL,32038,AE,nan,-82.76567119302503,29.919554879851447,arcgis
427,6474 HECKSCHER DR,JACKSONVILLE,FL,32226,AE,COASTAL FLOODPLAIN,-81.50627657841267,30.402455767803993,arcgis
428,1484 BROWARD ROAD,JACKSONVILLE,FL,32218,AE,COASTAL FLOODPLAIN,-81.66780348013522,30.418465915330852,arcgis
434,3726 SHORELINE CIRC,PANAMA CITY,FL,32405,AE,nan,-85.70770873022624,30.198965161200185,arcgis
435,3752 MIL RUN CT,GREENACRES,FL,33463,AE,nan,-80.1210638136235,26.62218210595762,arcgis
437,621 NE 23RD CT,POMPANO BEACH,FL,33064,AH,nan,-80.11377675464087,26.259483241596993,arcgis
438,19800 SW 180TH AVE- #591,MIAMI,FL,33187,AH,nan,-80.48465048916857,25.581199981077205,arcgis
439,441 NW 1ST WAY,DEERFIELD BEACH,FL,33441,AH,nan,-80.10470745158607,26.324280005099382,arcgis
440,405 NW 214 ST UNIT 108,MIAMI,FL,33169,AE,nan,-80.21072343932964,25.972090203302056,arcgis
441,314 GLANCY LN,PORT CHARLOTTE,FL,33952,AE,nan,-82.09583374769237,26.978375691444807,arcgis
442,2903 NE 163RD ST APT 1003,NORTH MIAMI BEACH,FL,33160,AE,nan,-80.14213197871211,25.926502414944927,arcgis
443,820 NW 65 ST,MIAMI,FL,33150,AH,nan,-80.21110087642963,25.834406253804605,arcgis
446,17405 NW 75TH PLACE #205,MIAMI,FL,33015,AE,nan,-80.32395473696484,25.930331980777158,arcgis
449,5114 S EL CLARO CIR,WEST PALM BEACH,FL,33415,AE,nan,-80.12156850937812,26.67341285330067,arcgis
450,3600 GARDEN LANE,MIRAMAR,FL,33023,AH,nan,-80.21498614000859,25.97756362798511,arcgis
451,1025 NW15 ST,HOMESTEAD,FL,33030,AH,nan,-80.49056802899138,25.484397465123106,arcgis
452,6002 CHANNEL DRIVE,GREENACERS,FL,33463,AE,nan,-80.13664954348312,26.63353866275103,arcgis
453,1103 RIVERSIDE DR,GREENACRES,FL,33463,AE,nan,-80.13029480359059,26.6320308840983,arcgis
454,635 BARACK OBAMA BLVD,PAHOKEE,FL,33476,AE,nan,-80.65987392359408,26.823889756027626,arcgis
455,19800 SW180 AVE 396,MIAMI,FL,33187,AH,nan,-80.48465048916857,25.581199981077205,arcgis
457,1500 PARK BEACH CIRCLE #4H,PUNTA GORDA,FL,33950,AE,nan,-82.06785931348234,26.925486301502865,arcgis
458,6406 BISHOFF RD,WEST PALM BEACH,FL,33413,AE,nan,-80.14375924139459,26.68331597777233,arcgis
459,2631 NW 206TH ST,MIAMI GARDENS,FL,33056,AE,nan,-80.24546986457216,25.963832478022162,arcgis
460,690 105TH AVENUE N,NAPLES,FL,34108,AH,nan,-81.80992250415028,26.266915936147242,arcgis
461,9829 SW 221ST ST,CUTLER BAY,FL,33190,AE,nan,-80.34924050809315,25.561994987336053,arcgis
463,405 NORTH OCEAN BLVD UNIT 607,POMPANO BEACH,FL,33062,VE,nan,-80.08916790601302,26.238310847542504,arcgis
464,5960 NW 42ND AVE,FORT LAUDERDALE,FL,33319,AH,nan,-80.20710798921392,26.198815571236786,arcgis
465,1421 SW 19TH AVE,CAPE CORAL,FL,33991,AE,nan,-82.0133425770389,26.624833008565403,arcgis
466,5755 W 20 AVE #410,HIALEAH,FL,33012,AH,nan,-80.32279459774608,25.874966492818196,arcgis
467,2326 NW 31 STREET,MIAMI,FL,33142,AE,nan,-80.23447766910981,25.804602720683672,arcgis
468,5755 W 20 AVENUE #201,HIALEAH,FL,33012,AH,nan,-80.32279459774608,25.874966492818196,arcgis
469,8454 NW 8 ST #4,MIAMI,FL,33126,AH,nan,-80.3331699689539,25.77817252640518,arcgis
470,4004 GRAYTON DRIVE,NEW PORT RICHEY,FL,34652,AE,COASTAL FLOODPLAIN,-82.74815209337889,28.215296998720255,arcgis
474,24510 DUFFIELD RD,BROOKSVILLE,FL,34601,AE,nan,-82.32835545312996,28.5076206077391,arcgis
476,31304 WRENCREST DR,WESLEY CHAPEL,FL,33543,A,nan,-82.30197198796182,28.179440432311704,arcgis
481,1103 LUCILLE AVENUE,NOKOMIS,FL,34275,AE,nan,-82.43796576859336,27.12661329523034,arcgis
484,4712 SIMCOE STREET,PALM HARBOR,FL,34683,AE,nan,-82.7663084691234,28.118949620108562,arcgis
485,10323 ELGIN BLVD,SPRING HILL,FL,34608,A,nan,-82.54944667338833,28.512744632788404,arcgis
486,617 FAIRWOOD FOREST,CLEARWATER,FL,33759,AE,nan,-82.72424489386574,27.97198698761495,arcgis
488,6026 N 46TH AVE,KENNETH CITY,FL,33709,AE,nan,-82.71681953348072,27.81358808642882,arcgis
489,70 N COUNTRY CLUB D,CRYSTAL RIVER,FL,34429,AE,nan,-82.59172272989136,28.86547888110647,arcgis
493,2828 GULF GATE DR,SARASOTA,FL,34231,AE,nan,-82.507322999885,27.25829429331153,arcgis
495,5651 67TH AVE N 216,PINELLAS PARK,FL,33781,AE,nan,-82.71122100889274,27.832757457081676,arcgis
497,10825 PATHFINDER TRL,LAKELAND,FL,33809,A,nan,-81.97234316820847,28.198814782406536,arcgis
499,737 COUNTY RD 783,WEBSTER,FL,33597,AE,nan,-82.09182853907899,28.578643742286836,arcgis
501,2828 YUMA AVE,NORTH PORT,FL,34286,AE,nan,-82.19912796383683,27.03582747701366,arcgis
505,1220 PIONEER DR,LAKELAND,FL,33809,A,nan,-81.97440184744742,28.187763704074356,arcgis
506,281 PARK FOREST BLVD,ENGLEWOOD,FL,34223,AE,nan,-82.33837819767113,26.969699290101225,arcgis
507,9071 56TH STREET N,PINELLAS PARK,FL,33782,AE,nan,-82.71036253436947,27.854483014836205,arcgis
508,8308 CAVALRY DR,HUDSON,FL,34667,AE,nan,-82.67701940735664,28.337730201118458,arcgis
511,6026 22ND AVE N #B8,SAINT PETERSBURG,FL,33710,AE,nan,-82.71583650387629,27.791616100720834,arcgis
512,12161 COUNTY ROAD 774A,WEBSTER,FL,33597,AE,nan,-82.05878255053351,28.578750988738037,arcgis
513,5923 NE RIVER RIDGE,ARCADIA,FL,34266,AE,FLOODWAY,-81.85293088753387,27.280760350302216,arcgis
516,2925 49TH ST S,GULFPORT,FL,33707,AE,nan,-82.69966747737482,27.740275979852427,arcgis
519,3000 DR MARTIN LUTHER KING JR S ST,SAINT PETERSBURG,FL,33705,AE,nan,-82.6465524465993,27.741082989490167,arcgis
